x1,x2,p,u
0.915675636,-0.985956572,1.047597002,-0.021516102
-2.831959968,-1.371123918,1.954378358,1
-4.505769198,-3.618306613,1.307981578,1
-0.493824448,-3.312095792,1.849221077,1
-6.474963782,-3.5556368,1.948789125,1
-0.191835313,-0.556558262,1.461154097,0.380174662
-3.838524944,-1.994797714,1.177700445,1
3.802190874,-4.5027835,0.524457566,-0.015918275
-4.955116995,0.798234844,1.194905658,1
-0.251450057,-0.102326115,0.794997219,0.297941255
-0.955413363,1.863793798,1.783606963,-0.348115189
-1.989523827,-1.885882749,0.767098935,1
-8.160021294,1.734610919,0.724209529,1
-8.512055406,0.736793864,1.733955753,1
-0.354983258,-0.519454861,1.61278721,0.413962933
-6.093618696,0.251247316,1.282947351,1
2.147655986,-2.426637768,1.95954866,0.042048104
3.133273753,-4.746083576,1.841491166,0.554289781
2.588141054,-1.05063401,0.981605791,-1
-3.155312738,-2.976991771,1.763298163,1
-0.868954471,-0.538790022,1.325699129,0.800898492
2.184959149,-4.077818681,1.388592068,0.87248381
-2.785045649,-2.213794706,0.892280311,1
2.439450071,1.178735049,1.174224715,-1
0.308594272,-2.271640574,0.643958694,1
-1.868747255,-2.010095984,1.133744875,1
3.155735538,1.328948473,0.601116201,-1
-0.030661858,-4.093801276,1.692152072,1
-4.393232951,1.429205568,1.534361189,1
-3.317409747,0.637420675,1.39161767,1
-5.147234912,-1.091436128,1.489795828,1
4.109104257,-2.47766132,1.312445312,-0.999999982
-4.770334343,1.434822218,0.76050445,1
-0.719335087,-2.918112194,1.451375214,1
1.607418691,1.475433466,1.07071173,-1
-3.637636836,-0.799050231,1.31736519,1
0.197356949,0.774655889,0.737324205,-0.800322703
3.002513866,-2.611994688,1.600788789,-0.300169307
-3.194625527,-4.436700767,1.699760771,1
3.331220929,-2.807631265,1.357097996,-0.443762936
1.07141647,-4.945390506,0.749113795,1
0.265888942,1.798671644,0.926246112,-0.999999998
1.623150854,-4.681927273,1.53773899,1
-6.086418546,-0.052151608,1.840470356,1
