time,speed
0.0,2.2618671655813545
0.05000285730613178,2.262589149999604
0.10000571461226355,2.264017584670377
0.15000857191839534,2.2661673700139398
0.2000114292245271,2.2690174654070834
0.2500142865306589,2.27256713950274
0.3000171438367907,2.276838984199605
0.3500200011429224,2.2818150983904824
0.4000228584490542,2.287488533345895
0.450025715755186,2.293883397832936
0.5000285730613178,2.3009844984562697
0.5500314303674496,2.3088065010056127
0.6000342876735814,2.3173138282669035
0.6500371449797131,2.326514631688436
0.7000400022858448,2.3363853157699954
0.7500428595919767,2.346954842073173
0.8000457168981084,2.3582289260189326
0.8500485742042403,2.3701788289328927
0.900051431510372,2.3828215385002447
0.9500542888165038,2.396142782766351
1.0000571461226355,2.4101537498622467
1.0500600034287675,2.4248017358779492
1.1000628607348992,2.4401565927400366
1.150065718041031,2.456147381763077
1.2000685753471627,2.472810498860797
1.2500714326532945,2.490134347464296
1.3000742899594262,2.5081258750575515
1.350077147265558,2.5267570741933567
1.4000800045716897,2.5460357531183155
1.4500828618778216,2.5659738704445627
1.5000857191839534,2.586532326356736
1.5500885764900851,2.6077191614466813
1.6000914337962169,2.6295183743321617
1.6500942911023486,2.6519378821847335
1.7000971484084806,2.6749985595686936
1.7501000057146123,2.6986736967497498
1.800102863020744,2.7229313932706543
1.8501057203268758,2.7478224016112374
1.9001085776330076,2.773288973674534
1.9501114349391395,2.799345972259503
2.000114292245271,2.825975889030112
2.050117149551403,2.853200390190832
2.100120006857535,2.8809934885271655
2.1501228641636665,2.909341504448128
2.2001257214697985,2.9382293235359147
2.25012857877593,2.9676944950266577
2.300131436082062,2.9977032211366033
2.350134293388194,3.028253412853507
2.4001371506943254,3.059332466225303
2.450140008000457,3.090956844520119
2.500142865306589,3.1230855822320085
2.5501457226127204,3.155733960387686
2.6001485799188524,3.1889014032001275
2.6501514372249844,3.222585500676933
2.700154294531116,3.256746953703768
2.750157151837248,3.291381767152744
2.8001600091433794,3.326500337242489
2.8501628664495113,3.3620996618033914
2.9001657237556433,3.398185972445869
2.950168581061775,3.434706351666689
3.000171438367907,3.471700245389182
3.0501742956740383,3.509145870034961
3.1001771529801703,3.5470099576151863
3.1501800102863022,3.5853220981895917
3.2001828675924338,3.624074333372666
3.2501857248985653,3.663231177408019
3.3001885822046972,3.7028254234779694
3.3501914395108288,3.742802293396137
3.400194296816961,3.7831844657839815
3.4501971541230922,3.823967429134423
3.5002000114292247,3.865158346997285
3.550202868735356,3.906712224628618
3.600205726041488,3.9486310012602783
3.6502085833476197,3.9909143133307765
3.7002114406537516,4.033570794510036
3.750214297959883,4.076575292954431
3.800217155266015,4.119927301093617
3.8502200125721466,4.163624313160625
3.900222869878279,4.207647313492455
3.95022572718441,4.2520106376496285
4.000228584490542,4.296670902471292
4.050231441796674,4.341660658418682
4.100234299102806,4.386955097190818
4.150237156408937,4.432547318672128
4.20024001371507,4.478462160336831
4.250242871021201,4.5246286775165485
4.300245728327333,4.571079664853668
4.350248585633465,4.617802573873242
4.400251442939597,4.664811768026289
4.450254300245728,4.712069714741314
4.50025715755186,4.759582627586015
4.550260014857992,4.807345058229654
4.600262872164124,4.855341013658058
4.650265729470255,4.903573994259244
4.700268586776388,4.952026560402173
4.750271444082519,5.000727890769313
4.800274301388651,5.049620736479475
4.850277158694783,5.098733018097591
4.900280016000914,5.148055476754173
4.950282873307046,5.197562198265785
5.000285730613178,5.247247961215231
5.05028858791931,5.297130819321921
5.100291445225441,5.347186518460453
5.150294302531574,5.397408606644177
5.200297159837705,5.447798853740302
5.250300017143837,5.498354699098968
5.300302874449969,5.549046623716374
5.350305731756101,5.599878864758679
5.400308589062232,5.650854909270713
5.450311446368364,5.701951330654549
5.500314303674496,5.753182197251404
5.550317160980628,5.804546738231911
5.600320018286759,5.8560321778003654
5.650322875592892,5.907620114664004
5.700325732899023,5.959302150404221
5.750328590205155,6.0110955612493004
5.800331447511287,6.062981819587457
5.850334304817419,6.114943730408082
5.90033716212355,6.166974718158189
5.950340019429682,6.219087414383499
6.000342876735814,6.271270156686628
6.0503457340419455,6.32353911743461
6.100348591348077,6.375828352547348
6.1503514486542095,6.428196988338437
6.2003543059603405,6.48059840757321
6.2503571632664725,6.533038120276027
6.3003600205726045,6.5855530264873305
6.350362877878736,6.638065126437803
6.4003657351848675,6.690620199973774
6.4503685924909995,6.743177687517035
6.5003714497971306,6.795769015068293
6.550374307103263,6.8483643136209995
6.6003771644093945,6.900967052995072
6.6503800217155264,6.9535563001727105
6.7003828790216575,7.00615727543656
6.75038573632779,7.0587510596506755
6.800388593633922,7.111318857558304
6.850391450940053,7.16389744953094
6.9003943082461845,7.21644917441133
6.950397165552317,7.268971570003103
7.000400022858449,7.3214757479931984
7.05040288016458,7.373939151823682
7.100405737470712,7.42637018215263
7.150408594776845,7.47875773680874
7.200411452082976,7.531113701229674
7.250414309389107,7.583408494025509
7.300417166695239,7.6356443005250325
7.350420024001372,7.68783218638654
7.400422881307503,7.739974286273431
7.450425738613635,7.792055995476594
7.500428595919766,7.844069469257522
7.550431453225899,7.89602110931387
7.60043431053203,7.9478990708946515
7.650437167838162,7.999700151235163
7.700440025144293,8.051438147316961
7.750442882450426,8.103108573909312
7.800445739756558,8.15470170412986
7.850448597062689,8.206176431586961
7.90045145436882,8.25759481384868
7.950454311674953,8.308913492667903
8.000457168981084,8.360153573159172
8.050460026287217,8.411301671077648
8.100462883593348,8.46235693583796
8.15046574089948,8.513322392711698
8.200468598205612,8.56418897507162
8.250471455511743,8.614961605718204
8.300474312817874,8.665623450051886
